Текст,Рейтинг,Дата,Заголовок,Тип
"И сразу хотелось бы отметить свою привязанность к научной фантастике или даже околонаучной. И уж тем более насчёт научной фантастики на тему Космоса. Для меня это всегда будет привлекательной темой для просмотра очередного нф-фильма. Тем более Космос до сих пор является недоступным и неизведанным, несмотря на сказки от реальных космических корпораций, будь то Роскосмос или NASA.Но история сейчас о фильме. Да, он с логикой не везде дружит и порой люди совершают здесь крайне идиотские поступки, которые не ждёшь от специалистов высочайшего уровня - астронавтов. Это же избранные их миллионов, которые заслужили право отстоять место человечества за пределами Земли. И что мы видим? Как они умирают на ровном месте... Поэтому некоторые моменты фильма смотреть мне крайне трудно без тотального недоумения на лице, особенно это касается эпизода с планетой Миллера. Волны, которые становятся видны лишь по сюжету... Смерть Дойла на ровном месте. Я вот честно не думал, что он такой тормоз. Либо он сам уверенно хотел умереть героем. Хотя умер номинантом на премию Дарвина... Или Манн, который был лучших из претендентов... И если он лучший показал себя эгоистом-камикадзе, то об остальных даже не знаешь уровня оценки интеллекта. И таких моментов много...Но всё забывается при звуках органа на фоне Гаргантюа или полёте через Кротовую нору. Это те моменты, которые полностью вытягивают фильм. Это то недосягаемое нечто, к которому хочется и колется прикоснуться. Но с другой стороны это вполне рядом с нами. Что-то непостижимое, что смог изобразить в своём фильме Нолан и при это подобрать композитора с просто пробирающими до мурашек композициями. Поэтому и не понимаю негативных обзоров. Это же не треш уровня Прометея, при это даже в Прометее были величественные кадры. Хоть и бьёт по восприятию фильма притянутый за уши момент с потерянным временем. Но с другой стороны Нолан мог бы и по другому подать момент с упущенным Купером взрослением Мёрфи. Хоть слёзы Макконахи уже превратились в мем, это тоже пробирает до глубины души. Когда есть ощущение, что упустил что-то важно во имя сомнительной идеи. Сильный момент...Вроде бы после просмотра думаешь, что моменты на Земле довольно скучны. Но во время просмотра всё довольно органично. Нолан мог бы убрать из фильма философские рассуждения на крыльце или чудаковатую погоню за беспилотником с уничтожением под колёсами грузовика кучи початков кукурузы. А уж момент с пылевыми бурями при таких насаждениях кажется надуманным. Можно же было посадить вокруг деревья для фильтрации и разрежения потоков воздуха. Также момент со смертью Дойла... Брент, которая вопреки логике зачем-то побежала за данными на планете Миллера при явно непригодной для заселения планете. Какой смысл в данных, если километровые волны видны невооружённым глазом??? Да и ещё там они высаживались, вращая при этом головами. Как они могли проглядеть такие волны???Также на планете Манна ледяные облака. Да такое вроде бы физически невозможно, чтобы лёд в воздухе висел...В любом случае фильм достоин просмотра. Тем более консультант у фильма всё говорил правильно, но Нолану захотелось принести в жертву физику ради сопливых моментов. Просто после этого фильма хочется думать и после просмотра хочется посмотреть снова эти сильные моменты. При этом хотелось узнать и дальше про жизнь Брент на планете Эдмундса. Могли бы снять продолжение при желании...7 из 10",0,01 марта 2020 | 15:53,Насколько глубока кротовая нора?,Положительный
"Не знаю, откуда такое воздыхание у этой кинолентыКристофера Нолана. Особенно комментарии наподобие «самый правдивый фильм с точки зрения физики». Если фильм использует такие вещи, как черная дыра и путешествие в пространстве и времени, то это не значит, что рядовой зритель полезет в «Краткую историю вселенной», чтобы получить определение данных понятий. С кинематографической точки зрения «Интерстеллар» находится между «Гравитацией» и «Марсианином» — напряжения и четкой картинки завезли по максимуму, но смысловых дыр нахватали мое почтение.Для фантастов существует огромный перечень идей, как можно показать будущее человечества. И в большинстве произведений мы, аки Тайлер Дёрден, стремимся к саморазрушению. Так и здесь братья Нолан заселили планету кукурузой (Никита Сергеевич одобряет), на голодающих время от времени сбрасывают бомбы, на технический прогресс во всех смыслах положили болт, а дети в школе учат историю по учебникам, где полет на Луну — ничто иное, как фальшивка. В этом мире и живет бывший пилот НАСА, которого зовут Купер.Ну так вот, Купер по воле случая попадает на засекреченную базу НАСА. И ему на этой базе говорят — о, чувак, мы только тебя и ждали! Давай, собирайся, полетишь в космос искать новые планеты, куда можно будет переселиться. И Купер отправляется в экспедицию, даже не попрощавшись толком с дочкой, потому что она включила режим обиженки и никуда не хотела отпускать папу, но пришлось.За пластом путешествия в космической пустоте под шедевральный саундтрекХанса Циммерамы упускаем одну деталь. Планеты для «теста на обитание» находятся не в Солнечной системе, а в другом месте Вселенной, куда попасть можно через кротовую нору. Происхождение «норы» припасено для неожиданного поворота, туда же можно отнести и явление, когда дочь Купера перед его отлетом говорила, что некий «призрак» в их комнатах шкаф с книгами шатал. А пока сосредоточим внимание на путешествие. В компаньоны команде с Земли дали в помощь роботов, которые в статичном режиме напоминают те монолиты из «Космической одиссеи». И судя по тому, что они обладают подобием искусственного интеллекта, почему их нельзя было послать? Проблем с передачей данных точно бы не возникло, а так получается, что НАСА нарушили свое же правило отбора в команду людей без семьи, подвергая риску отца двоих детей и дочь главного профессора.Когда на экране появляются планеты, то вопросом касательно природы их мироздания не возникает. Как бы Вселенная еще толком не изучена, поэтому всякие фантастические процессы на планетах вполне вероятны. Я только сомневаюсь, что одна из планет, которая находится чуть ли не у края черной дыры, так и оставалась бы, а не затянулась бы в неизведанное. Такая планета была создана, пожалуй, для самой драматической сцены фильма — когда герои приземляются на нее, осматриваются и улетают, на планете они провели пару часов. В реальном мире же прошло 23 года! И дальше нам показывают плачущего Купера, который просматривает сообщения от детей и смотрит, как же они выросли так быстро относительно него.Мне не хочется разбирать состояние персонажей ради сопереживания им, но из всей этой команды только главному герою в исполненииМэттью Макконахии получается сочувствовать. За время своей авантюры он столкнулся со многим, но продолжал миссию, греясь изнутри мыслью о возвращении. Без эмоциональных срывов у Брэдли не обошлось, но его можно понять.Майкл Кейн, Энн Хэтеуэй, Дэвид Гясииз команды НАСА хоть и движимы высокой целью, но из-за логики их действий не получается воспринимать их всерьез. С Мерф, дочкой Купера, создатели вообще накрутили дополнительный слой драмы, который работал только благодаря актерской игреДжессике Честейн. Я понимаю, почему десятилетняя Мерф расстроилась, но когда она выросла, стала физиком, и тоже стала изучать возможности спасения человечества, но все эти годы быть обиженной на отца? Девочка из категории «обиделась, потому что парень не откосил от армии в период мобилизации».По своей сути, «Интерстеллар» напоминает ответ школьника у доски на вопросы из параграфа. И я сейчас не берусь как-то ругать картину за недостоверность, с этой задачей прекрасно справилсяРидли Скоттсо своим «Марсианином». Весь сценарий путешествия Купера и его компании был построен на научных работах Нобелевского лауреата по физике Кипа Торна. Вмешалось скорее видение братьев Нолан, которые, несмотря на свою страсть к завернутому повествованию, попытались рассказать историю простым языком. Но это лишь свидетельствует, что мы — простые люди, и ошибки случаются у всех, даже названных «гениями». Ничего сверхъестественного.",0,08 февраля 2020 | 15:58,#сел_посмотреть 'Интерстеллар',Положительный
"Кристофер Нолан — британский и американский кинорежиссёр, сценарист и продюсер. Является одним из самых кассовых режиссёров в истории, а также одним из самых известных и влиятельных кинематографистов своего времени. Автор фильмов: 'Тёмный Рыцарь', 'Начало' 'Дюнкерк' и 'Интерстеллар'. О последнем фильме мы сегодня и поговорим.СюжетФильм рассказывает нам о команде исследователей, которая берёт на себя важную миссию в истории человечества, путешествуя за пределами нашей галактики, чтобы узнать есть ли у человечества будущее среди звезд. Согласитесь, звучит захватывающе...Актёрский составМэттью МакКонахи, Энн Хэтэуэй, Джессика Честейн, Маккензи Фой, Мэтт Дэймон, Майкл Кейн и многие другие актёры Голливуда. Кристофер Нолан подобрал очень хороший актёрский состав для фильма. Все актёры замечательно отыгрывают свои роли и хорошо смотрятся в фильме. Особенно хорошо в фильме показаны взаимоотношения Отца (Мэттью МакКонахи) и дочери (Маккензи Фой).МузыкаХанс Циммер — немецкий кинокомпозитор, известный своей музыкой к кинофильмам и компьютерным играм. Лауреат премии «Оскар», двукратный лауреат премии «Золотой глобус», трёхкратный лауреат премии «Грэмми» К 'Интерстеллару' он написал замечательную музыкальную композицию, которая захватывает дух.Мнение о фильме'Интерстеллар' - это поистине очень крутое кино. Фильм затрагивает темы любви, человечности, но в тоже время касается квантовой физики, конструирования роботов, проблему выживания на других планетах. Данный фильм подойдёт людям разных возрастов(от любителей красивых кадров (операторская работа в фильме прекрасная), до людей, которые хотят насладиться прекрасной музыкой, хорошей игрой и гениальным сюжетом).ИтогКристофер Нолан смог снять фильм, который ещё много лет будут обсуждать с научной точки зрения и сравнивать с другими фильмами со схожей тематикой. Для меня 'Интерстеллар' это лучший фильм про космос и один из лучших фильмов вообще.9 из 10",0,10 января 2020 | 19:43,"Мы покорили открытый космос, но не свой внутренний мир.",Положительный
"Это лучший фильм. Лучший фильм не про космос, фильм про жизнь. Предназначение, цель, смысл и размытие понятия время и пространства. Того  что вероятно в будущем будут определять иными понятиями, отличными от классических 'Эйнштейновских'. Жизнь человечества - песчинка в мириадах звездных систем,  она хрупка и зависима от многих вещей, которые как ни ужасно практически не зависят от неразвитого разума человечества, разума с закостеневшими понятиями в физике и математике. Гонка за прибылью вероятно через 100-150 лет аукнется всему человечеству. Фундаментальной наукой земляне почти перестали заниматься. Эволюция остановлена идеологией потребления. Когда Мы задумаемся и одумаемся? Значение фильма трудно переоценить, хотя для большинства это просто картинка с вшитыми мелодраматическими кадрами. Он даёт при сравнении с действительностью скудную надежду. Советую почитать книги Кипа Торна - Чёрные дыры, Интерстеллар: наука за кадром и Гравитация (от простого к сложному). Фильм конечно 10 из 10.",0,01 декабря 2019 | 01:53,,Положительный
"Решила написать первую рецензию, дабы отстоять один из своих любимых фильмов. Безусловно, Интерстеллар не первый и не последний в своём жанре с присутствующими ему недостатками и достоинствами, однако главное здесь вовсе не это. Идея. Вот, что до нас пытаются донести. А именно то, что на данный момент Земля является нашим единственным домом, и какие-бы отчаянные попытки не были бы предприняты, это остаётся неизменным. Да, мы сможем выжить и на других планетах, но какой ценой?! Там не будет всего того, к чему мы привыкли. Интерстеллар лишь проекция возможного будущего, но в наших силах всё изменить. И то чувство, которое он оставляет, похоже скорей не на эйфорию. Лично для меня, это своего рода беспомощность перед 'великим и ужасным космосом', который, буквально, навис над нами, давая очередной шанс, и в случае неудачи которого, готовый стереть всё в порошок. Мы забываем об этом, сидя в офисах.В дополнение хотелось бы отметить трио, открывшееся с новой стороны: Мэттью МакКонахи, Энн Хэтэуэй и Джессика Честейн. Их перевоплощение выше всех похвал, как бы банально не звучало, не говоря уже про самих Кристофера Нолана и Ханса Циммера. Эти люди сделали не просто фантастику с элементами драмы, местами даже можно подумать, что перед тобой документальный фильм с научными гипотезами. Спасибо Вам за такое кино! Без сомнения, один из лучших моментов - стыковка с Эндьюранс, наверное, здесь сразу всё становится понятным, а главный саундтрек навсегда в моём плейлисте.P.S. Обязательно к просмотру каждому уважающему себя современному человеку.9 из 10",0,19 октября 2019 | 11:56,В наших силах всё изменить.,Положительный
"С места в карьер: пожалуйста, возьмите денюжку, сходите в кино и посмотрите 'Interstellar' ('Интерстеллар').Что ж, друзья, перед нами только что появился новый представитель живой киноклассики. Этот фильм будут смотреть и пересматривать еще долго. Такие феномены не потухают быстро. Это настоящий шедевр.Создалось впечатление, что Кристофер Нолан, выпуская по прекрасному фильму раз в два года просто разминался. Вы, как и я, с замиранием сердца следили за противостоянием двух первоклассных фокусников? Затаив дыхание путешествовали все глубже и глубже в сны вместе с Домиником Коббом? Лицезрели становление и падение Темного Рыцаря? А Нолан просто тренировался. Оттачивал навыки для того, чтобы однажды взять и снять Interstellar.И устроить нам всем взбучку.Новое творение дуэта братьев Ноланов куда серьезнее, чем то, что они снимали раньше. Картина поднимает очень важные вопросы и разговаривает со зрителем на глубокие и сложные темы. Любовь к детям, к семье, важность человеческой жизни, самопожертвование, эгоизм и снова по кругу. Путешествие, в которое отправляется Купер, будет одинаково тяжелым и для него, и для тех, кого он оставляет на Земле. Вся жизнь против нескольких дней. Четверо против шести миллиардов. Время против времени. Постоянное противопоставление, постоянный выбор, который надо делать героям, делают Interstellar невероятно захватывающим, но довольно тяжелым зрелищем.Несмотря на фантастический антураж и обилие сай-фай атрибутики, фильм очень реалистичный. Во многом это достигнуто благодаря действительно потрясающей игре главных актеров. Мэттью Макконахи прыгнул выше головы, также удивила Энн Хэтуэй. Остальным героям хоть и уделено меньше времени, но все получают возможность блеснуть. Музыка великолепного Ханса Циммера красиво дополняет повествование и очень приятна сама по себе.'Interstellar' это невероятно эмоциональное приключение длиною в жизнь. Оно очень грустное, очень трогательное, очень глубокое. Все темы, которые Нолан поднимает, четко раскрыты. После титров почти не остается вопросов, все разложено по полочкам, все точки над i расставлены. Но эмоции спрятать не получается. Только спустя несколько часов, когда можно уже спокойно оценить увиденное, начинаешь понимать масштаб идей, заложенных в фильм. Заставляет задуматься, а это самая большая похвала режиссеру.'Interstellar' - обязательный must see и, пожалуй, лучшее кино последних лет. Пожалуйста, не пропустите.Однозначно, 10 из 10",0,28 сентября 2019 | 22:36,Space Odyssey 2014,Положительный
"Всегда буду помнить потрясение от просмотра Интерстеллар.Конечно, свою огромную роль сыграли огромный экран IMAX, мощь чистейшего звука, одержимость красотой космоса и широкая гамма живых эмоций...Гениальный Ханс Циммер погружает вас.. нет, не так. Онподнимаетвас в космос вместе с Эндюранс и заставляет вращаться. И эпичность происходящего на экране не вызывает малейших сомнений - это то самое стремление за мечтой, которое глохнет в обыденности жизни, после чего мы в старости говорим себе 'мне жаль, что я испугался своей мечты и стал серым и безликим'Куп: 'Раньше мы смотрели в небо и там искали своё место среди звёзд. А теперь смотрим под ноги и пытаемся выжить в этой грязи.'А давно ли вы поднимали свой взгляд от смартфона к небу? Давно ли задумывались, вы, сгустки молекул, кто вы и где находитесь? Насколько огромен мир за пределами Земли? Насколько мимолётны наши жизни в этом мире звёзд, где время измеряется миллиардами лет? Ещё в детстве от таких мыслей у меня кружилась голова.Дам один совет к просмотру: если у вас есть 3 часа свободного времени и настроение думать о вечном, желание почерпнуть околонаучные мысли, потрясный визуал, мощную музыку, увидеть кукурузный мир планеты Земля на грани вымирания, испытать любовь к своей дочери, любовь, которая слабее (или, наоборот, сильнее?...) ответственности перед будущим человечества...Вы готовы?10 из 10",0,26 августа 2019 | 15:39,Полетели?,Положительный
"Тематика космических полётов всегда меня интересовала, поэтому данный фильм, пусть и с задержкой, я не мог пропустить.Сразу скажу, что сценаристы неплохо поработали над видом далёкого космоса, скрытого от нас многими световыми годами. Особенно хорошо удалось им изобразить чёрную дыру. В этом году получили первые снимки чёрной дыры, и по снимкам видно, что в фильме её изобразили весьма похоже. В остальном тоже поработали на славу.История персонажей тоже интересна, особенно их нелёгкий выбор, который надо было сделать. Да, многие мечтали полететь в космос, но не все понимают, насколько он может быть угрожающим и какие сюрпризы может нам приготовить. И этот фильм в полной мере показал, до какого отчаяния он может довести отважных космонавтов.Надо сказать, что тут хорошо сочеталось использование теории относительности и фантазии сценаристов. Хотя в этом моменте есть как положительные стороны, так и отрицательные. С горизонтом событий интересно придумали, тут поставлю плюс.Один из минусов фильма касается планет возле чёрной дыры и тут полно противоречий. Сперва заявляют об колоссальной гравитации, но вот люди легко ходят и корабли взлетают без проблем, как впрочем и волны поднимаются. А другая планета возле чёрной дыры внезапно оказывается со слабой гравитацией, что вообще непонятно, как, впрочем, и само нахождение возле чёрной дыры планет. Но эти минусы не сильно мешают просмотру.Концовку могли и лучше придумать, но в остальном рекомендую к просмотру.8 из 10",0,11 августа 2019 | 01:30,Межгалактический полёт к горизонту событий,Положительный
"Интерстеллар - не менее экзистенциальная драма, чем любой из фильмов, будь то Бергмана, Тарковского или Феллини. Суть в том, как ты видишь этот фильм, как его видит твой мозг. Одного и даже двух раз - недостаточно, чтобы принять в себя это полотно. Так происходит с любым хорошим фильмом, ведь информация, которую вы привыкли усваивать, как картинку - на протяжение двух-трёх часов, творцы, рисуют в своей голове всю жизнь.Любовь - действительно чувство, но чувство заложено в человеке тем, кто был выше человека, тем, кто мог его создать. Вы можете не верить в Бога, но вряд ли вы можете отрицать вселенский разум, что создаёт (и по сей день, ведь вселенная расширяется куда быстрее, чем вы можете себе представить в буквальном смысле этих слов). Любовь - код, как голод, как агрессия, как гнев. Нет смысла говорить о том, стоит ли искать основу этого кода, люди все равно это сделают, и не важно, когда, история - на то и история, что мы можем залезть лишь в прошлое.Однако что может быть лучше, чем размышления режиссёра, о любви и самопожертвование, которое соприкасается со спасением всего человечества - на фоне мощнейшей картинки космических изломов, чёрных дыр, планет, что работают по уникальным физическим законам. Космос - это пустота, и это вовсе не метафора, это реальность. Наблюдать человеческое лицо, что передано мощнейшей современной камерой - на этом темном фоне - значит смотреть в зеркало, значит любить, не зря, фильм получил оскар за эффекты.Это очередной фильм, что станет в истории - настоящей вехой, ведь реальность, начинается трансформироваться и такие художники, как Нолан, продолжают дела фантастов двадцатого века, которые во многом предвосхитили настоящую реальность, только теперь - такие фантасты опираются ещё и на настоящих ученых физиков, опираются на последние современные труды - по исследованию нашей вселенной.Этот фильм - есть любовь, так как он говорит именно о ней, так как он показывает ее - через решимость, привязанность и красоту -Нашего Мира. Стоит отметить, ценность - поднятой экологической проблемы, ведь в настоящее время, дела обстоят более, чем дурно. Наши политики - хотят захлебнуться в собственных грехах, экология - начала волновать западный мир, наша же страна - ещё до сих пор не может отмыться от проблем социальных - коррупции, цензуры и всякой ерунды, что «старшие наши» высасывают из пальца. А в это время - вырубаются леса и кислорода становится меньше, люди бастуют против огромных свалок возле их маленьких городков - их разгоняют дубинками. Куда мы идём? Быть может, к той пустыне, что нахлынет на землю, как то нарисовал Нолан? Прав ли он? Наши дети это узнают.10 из 10",0,10 мая 2019 | 13:05,Космос. Космос? Космос!,Положительный
"Мощнейшую фантастическую драму создали мастера американского и английского кинематографа.Самое ключевое, что показано в фильме, и что мы запросто можем индефицировать с собственным Сегодня - образ Пыли. Бессмысленной, убивающей всё на своем пути, и вездесущей. От которой некуда скрыться - Она повсюду - как безвыходность... И от нее сплошные смертельные бронхиты души... Решение героев очевидно - валить со всех ног от нее, назойливой. Они и свалили. Только не учли, что жизнь сложнее, чем порыв слабака «свалить»... и пройдя сквозь необозримые 'галактики', ты неизбежно окажешься вновь в той же самой вонючей Пыльной Комнате, из которой так долго убегал... Потому что ты не Ушел от 'пыли', а - Спрятался.Второе. Самое противное. Наши дети - старше нас. С каждым поколением они всё старше и старше нас, досада какая… И вот уже завтра они перед нами, юнцами-переростками- предстанут древними стариками духа. В фильме этот красивейший образ читается на раз и бьет прямо в незащищенные ребра. Мы сами были старше своих предков. Всегда. Именно поэтому они нас не поняли. Именно поэтому они кричали нам 'остановись!', когда мы делали самое важное, и не кричали, когда мы делали глупости... Спасибо авторам фильма. Спасибо также, за то, что еще раз напомнили о том, что для того, чтобы Вернуться, непременно нужно - Уйти. Мы возвращаемся - в новом качестве, к своим детям. А они - к нам. И нельзя их держать, что называется, 'у юбки'. Тогда у нас с ними будут неживые взаимоотношения, и мы погрязнем в болоте обоюдной привязанности. Спасибо авторам фильма что напомнили: через сопли и слезы, но уходить от детей и от родителей – надо обязательно.А теперь, нюансы.Персонаж Мэтта, нашего, Дэймона, только выглядит подонком. А ты попробуй, поживи в бесконечной, мертвой мерзлоте без надежды, год-другой, а там мы на тебя поглядим… Может, ты тоже «подонок» и нажмешь «лживую» кнопку, чтобы за тобой приехали? Единственное, в чем его реально можно обвинить, так это в том, что при таких еле заметных яйцах ты, пожалуйста, не суйся в кратор активного вулкана, сгоришь, не успев обмочиться. Не по размеру выбрал штанишки чувак, мечтавший о лаврах супергероя… Однако, удивительно честно звучат его слова: 'Каждый из нас втайне был уверен, что именно его планета - Та Самая. Потому мы и полетели'. Как по-человечески... Он показывает нам судьбу личности, застрявшей в пустоте по причине собственной самонадеянности и слабости, что в православной традиции называется 'гордыней' и карается смертью совести - уже (или, еще) при жизни.Совсем иной путь демонстрирует нам парень чернокожий, который 23 года просидел на корабле, а для остальных прошло от силы часа три... Вам это никого не напоминает? Пока кто-то делает дело и меняется не по дням, а по часам, другие - консервируются в своем мнимом комфорте, и время начинает течь иначе - хотя вроде бы идет одинаково для всех. Таким образом, для одних 20 лет - пять вечностей борьбы, а для других - миг безделья.Касательно «пяти-мерного» пространства. В фантастике подобные образы неизменно используются, чтобы проиллюстрировать примерно следующее - скажем, совковая бабулька с дворовой лавочки и высоко образованный интеллигент-диссидент действительно живут в разных измерениях и не в силах друг друга понять даже при большом желании.И да. Для меня лично самый отрицательный персонаж картины - папа-профессор. Нет ничего хуже, чем презирать – Личность, и уважать - биологический вид. Это и есть прототип лукавого, которому важнее Энергия, чем Ее непосредственные носители. Изумительно лаконично вплелась в общий узор заглавная мысль произведения: Любовь и Интуиция - побеждают рационализм и факты (посмотрите кино, и поймете, о чем я). Пустячок, а приятно! )В фильме настолько много потаенных граней, что рецензируя, боишься какую-то из них забыть охватить...Тут и конфликт отцов и детей, и личностные разборки, и связь поколений, и одиночество… И путь, и тупик, и перекресток...А последняя сцена и вовсе практически полностью перепевает библейское: 'И дам вам новую Землю и новое небо'. Отчего наворачиваются сладкие слезы. Очень-очень много горько-сладких слез. Конечно, будут, будут у нас. Наверное... И новая земля, и особенно - новое небо. В любом случае, аж жуть, сколько мы преодолели, чтобы до них добраться.***Об актерских работах - хочется отметить, что Энн Хэтэуэй очевидно без шуток большая артистка. Нет, уже отнюдь не девчулька-стрекоза из любящих носить Праду... Здесь в Энн буквально 'падаешь' и уже не размышляешь, как и что она делает. Мэтью Макконахи вне конкуренции. А вот Джессике Честейн то ли именно эта роль не удалась, то ли она в принципе, «сероватенькая»... Хорошо, что роль ей досталась простая и фильм она не испортила, но смотреть на нее неинтересно (единственное, чего не может себе позволить актриса).Кино получилось определенно - умным, что редкость для современных эпических блокбастеров. Скатиться в фарс и пошлость проще некуда. Фильм избежал заезженного штампа 'как мы спасали мир' (хотя таки и спасали)), мудростей зрителю не навязал, но заставлял делать выбор: где ты. В космосе или на бренной земле. Веришь ты в лучшее, будешь ли сражаться за него, чтобы дышать свежим воздухом, или готов сгнить и задохнуться в постылой «пыльной» реальности. Перевозя свой нехитрый скарб, из одной грязи - в другую...И каждый зритель был вынужден ответить сам.10 из 10",0,12 апреля 2019 | 21:17,"Оптимисты считают, мы живем в лучшем из миров, а пессимисты боятся, что это правда (с)",Положительный
